order_order_id,user_id,cogs_usd,price_usd,created_at,product_id,Month,profit,Year,product name,,
1,20,19.49,49.99,3/19/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
2,104,19.49,49.99,3/19/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
3,147,19.49,49.99,3/20/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
4,160,19.49,49.99,3/20/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
5,177,19.49,49.99,3/20/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
6,232,19.49,49.99,3/20/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
7,241,19.49,49.99,3/20/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
8,295,19.49,49.99,3/20/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
9,304,19.49,49.99,3/21/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
10,317,19.49,49.99,3/21/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
11,321,19.49,49.99,3/21/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
12,327,19.49,49.99,3/21/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
13,332,19.49,49.99,3/21/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
14,336,19.49,49.99,3/21/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
15,428,19.49,49.99,3/21/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
16,434,19.49,49.99,3/21/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
17,465,19.49,49.99,3/21/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
18,507,19.49,49.99,3/22/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
19,536,19.49,49.99,3/22/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
20,615,19.49,49.99,3/22/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
21,639,19.49,49.99,3/22/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
22,732,19.49,49.99,3/23/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
23,750,19.49,49.99,3/23/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
24,783,19.49,49.99,3/23/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
25,844,19.49,49.99,3/24/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
26,908,19.49,49.99,3/25/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
27,909,19.49,49.99,3/25/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
28,940,19.49,49.99,3/25/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
29,954,19.49,49.99,3/25/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
30,1016,19.49,49.99,3/26/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
31,1021,19.49,49.99,3/26/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
32,1055,19.49,49.99,3/26/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
33,1077,19.49,49.99,3/26/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
34,1090,19.49,49.99,3/26/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
35,1094,19.49,49.99,3/26/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
36,1101,19.49,49.99,3/26/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
37,1103,19.49,49.99,3/26/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
38,1121,19.49,49.99,3/26/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
39,1238,19.49,49.99,3/27/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
40,1251,19.49,49.99,3/27/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
41,1325,19.49,49.99,3/28/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
42,1337,19.49,49.99,3/28/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
43,1412,19.49,49.99,3/28/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
44,1447,19.49,49.99,3/28/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
45,1456,19.49,49.99,3/28/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
46,1574,19.49,49.99,3/29/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
47,1598,19.49,49.99,3/29/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
48,1635,19.49,49.99,3/29/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
49,1638,19.49,49.99,3/30/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
50,1646,19.49,49.99,3/30/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
51,1677,19.49,49.99,3/30/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
52,1683,19.49,49.99,3/30/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
53,1701,19.49,49.99,3/30/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
54,1718,19.49,49.99,3/30/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
55,1721,19.49,49.99,3/30/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
56,1782,19.49,49.99,3/31/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
58,1799,19.49,49.99,3/31/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
59,1815,19.49,49.99,3/31/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
60,1855,19.49,49.99,3/31/2012,1,March,30.50,2012,The original Mr. Fuzzy,,
61,1882,19.49,49.99,4/1/2012,1,April,30.50,2012,The original Mr. Fuzzy,,
62,1902,19.49,49.99,4/1/2012,1,April,30.50,2012,The original Mr. Fuzzy,,
63,1929,19.49,49.99,4/1/2012,1,April,30.50,2012,The original Mr. Fuzzy,,
64,1934,19.49,49.99,4/1/2012,1,April,30.50,2012,The original Mr. Fuzzy,,
65,2025,19.49,49.99,4/2/2012,1,April,30.50,2012,The original Mr. Fuzzy,,
66,2076,19.49,49.99,4/2/2012,1,April,30.50,2012,The original Mr. Fuzzy,,
67,2089,19.49,49.99,4/2/2012,1,April,30.50,2012,The original Mr. Fuzzy,,
68,2102,19.49,49.99,4/2/2012,1,April,30.50,2012,The original Mr. Fuzzy,,
69,2196,19.49,49.99,4/3/2012,1,April,30.50,2012,The original Mr. Fuzzy,,
70,2217,19.49,49.99,4/3/2012,1,April,30.50,2012,The original Mr. Fuzzy,,
72,2276,19.49,49.99,4/3/2012,1,April,30.50,2012,The original Mr. Fuzzy,,
73,1752,19.49,49.99,4/3/2012,1,April,30.50,2012,The original Mr. Fuzzy,,
75,2376,19.49,49.99,4/4/2012,1,April,30.50,2012,The original Mr. Fuzzy,,
76,2405,19.49,49.99,4/4/2012,1,April,30.50,2012,The original Mr. Fuzzy,,
77,2414,19.49,49.99,4/4/2012,1,April,30.50,2012,The original Mr. Fuzzy,,
78,2495,19.49,49.99,4/4/2012,1,April,30.50,2012,The original Mr. Fuzzy,,
79,2503,19.49,49.99,4/4/2012,1,April,30.50,2012,The original Mr. Fuzzy,,
80,383,19.49,49.99,4/5/2012,1,April,30.50,2012,The original Mr. Fuzzy,,
81,2644,19.49,49.99,4/5/2012,1,April,30.50,2012,The original Mr. Fuzzy,,
82,2746,19.49,49.99,4/5/2012,1,April,30.50,2012,The original Mr. Fuzzy,,
83,2786,19.49,49.99,4/6/2012,1,April,30.50,2012,The original Mr. Fuzzy,,
84,2854,19.49,49.99,4/6/2012,1,April,30.50,2012,The original Mr. Fuzzy,,
85,2916,19.49,49.99,4/6/2012,1,April,30.50,2012,The original Mr. Fuzzy,,
86,2956,19.49,49.99,4/6/2012,1,April,30.50,2012,The original Mr. Fuzzy,,
87,2972,19.49,49.99,4/7/2012,1,April,30.50,2012,The original Mr. Fuzzy,,
88,3012,19.49,49.99,4/7/2012,1,April,30.50,2012,The original Mr. Fuzzy,,
89,3016,19.49,49.99,4/7/2012,1,April,30.50,2012,The original Mr. Fuzzy,,
90,3048,19.49,49.99,4/8/2012,1,April,30.50,2012,The original Mr. Fuzzy,,
91,3053,19.49,49.99,4/8/2012,1,April,30.50,2012,The original Mr. Fuzzy,,
92,3107,19.49,49.99,4/8/2012,1,April,30.50,2012,The original Mr. Fuzzy,,
93,3109,19.49,49.99,4/8/2012,1,April,30.50,2012,The original Mr. Fuzzy,,
