order_item_refund_id,created_at,order_item_id,order_id,refund_amount_usd,user_id,primary_product_id,created_at:1,items_purchased
1,2012-04-06 11:32:43,57,57,49.99,1794,1,2012-03-31 2:32:43,1
2,2012-04-13 1:09:43,74,74,49.99,2309,1,2012-04-03 19:09:43,1
3,2012-04-15 7:03:48,71,71,49.99,2247,1,2012-04-03 15:03:48,1
4,2012-04-17 20:00:37,118,118,49.99,4065,1,2012-04-15 9:00:37,1
5,2012-04-22 20:53:49,116,116,49.99,3895,1,2012-04-13 14:53:49,1
6,2012-05-04 11:59:07,147,147,49.99,4832,1,2012-04-23 20:59:07,1
7,2012-05-12 2:41:14,186,186,49.99,6381,1,2012-05-09 17:41:14,1
8,2012-05-16 13:06:01,191,191,49.99,5115,1,2012-05-11 15:06:01,1
9,2012-05-24 16:00:09,179,179,49.99,6288,1,2012-05-09 1:00:09,1
10,2012-05-30 17:20:44,199,199,49.99,6869,1,2012-05-15 3:20:44,1
11,2012-06-06 14:22:14,271,271,49.99,8911,1,2012-06-01 14:22:14,1
12,2012-06-10 19:54:47,290,290,49.99,9374,1,2012-06-06 10:54:47,1
13,2012-06-20 19:13:12,335,335,49.99,10668,1,2012-06-15 23:13:12,1
14,2012-06-28 18:54:22,382,382,49.99,11776,1,2012-06-25 19:54:22,1
15,2012-06-29 15:50:01,357,357,49.99,11176,1,2012-06-20 13:50:01,1
16,2012-07-05 14:24:53,409,409,49.99,12530,1,2012-07-02 13:24:53,1
17,2012-07-07 7:36:44,368,368,49.99,11443,1,2012-06-22 11:36:44,1
18,2012-07-07 19:54:28,391,391,49.99,11986,1,2012-06-27 11:54:28,1
19,2012-07-08 2:59:09,424,424,49.99,12909,1,2012-07-05 9:59:09,1
20,2012-07-10 14:31:05,393,393,49.99,12061,1,2012-06-27 19:31:05,1
21,2012-07-11 22:16:10,442,442,49.99,13339,1,2012-07-09 13:16:10,1
22,2012-07-19 6:57:16,472,472,49.99,14021,1,2012-07-14 14:57:16,1
23,2012-07-20 13:51:53,470,470,49.99,7204,1,2012-07-14 2:51:53,1
24,2012-07-21 9:45:01,469,469,49.99,9892,1,2012-07-13 23:45:01,1
25,2012-07-22 12:53:11,471,471,49.99,7753,1,2012-07-14 12:53:11,1
26,2012-07-27 18:03:58,468,468,49.99,13913,1,2012-07-13 13:03:58,1
27,2012-07-29 7:41:18,467,467,49.99,13898,1,2012-07-13 10:41:18,1
28,2012-07-31 1:43:50,500,500,49.99,11071,1,2012-07-19 17:43:50,1
29,2012-08-01 13:50:52,501,501,49.99,14711,1,2012-07-19 21:50:52,1
30,2012-08-06 23:16:41,568,568,49.99,15947,1,2012-07-30 15:16:41,1
31,2012-08-08 17:45:11,545,545,49.99,11701,1,2012-07-26 9:45:11,1
32,2012-08-09 17:14:14,558,558,49.99,10461,1,2012-07-28 1:14:14,1
33,2012-08-12 1:39:11,577,577,49.99,13817,1,2012-08-01 8:39:11,1
34,2012-08-12 19:26:58,648,648,49.99,17559,1,2012-08-09 10:26:58,1
35,2012-08-15 3:07:26,669,669,49.99,18044,1,2012-08-13 0:07:26,1
36,2012-08-16 10:58:58,587,587,49.99,16410,1,2012-08-02 1:58:58,1
37,2012-08-17 0:42:29,581,581,49.99,16296,1,2012-08-01 12:42:29,1
38,2012-08-17 0:43:39,584,584,49.99,8805,1,2012-08-01 15:43:39,1
39,2012-08-18 9:15:40,638,638,49.99,17419,1,2012-08-08 16:15:40,1
40,2012-08-20 8:19:51,676,676,49.99,12730,1,2012-08-13 18:19:51,1
41,2012-08-23 12:16:35,717,717,49.99,19259,1,2012-08-20 15:16:35,1
42,2012-08-24 15:15:48,661,661,49.99,17870,1,2012-08-10 21:15:48,1
43,2012-08-27 4:21:11,694,694,49.99,18677,1,2012-08-16 15:21:11,1
44,2012-08-27 14:26:16,668,668,49.99,18035,1,2012-08-12 22:26:16,1
45,2012-08-29 0:16:18,739,739,49.99,19978,1,2012-08-23 13:16:18,1
46,2012-08-29 14:11:58,718,718,49.99,19300,1,2012-08-20 18:11:58,1
47,2012-09-01 10:36:40,780,780,49.99,21009,1,2012-08-28 21:36:40,1
48,2012-09-03 21:08:59,786,786,49.99,21167,1,2012-08-29 13:08:59,1
49,2012-09-08 9:52:41,760,760,49.99,20472,1,2012-08-26 14:52:41,1
50,2012-09-12 12:31:11,844,844,49.99,22694,1,2012-09-06 13:31:11,1
51,2012-09-13 7:09:10,823,823,49.99,22228,1,2012-09-04 14:09:10,1
52,2012-09-14 7:45:19,883,883,49.99,13329,1,2012-09-11 6:45:19,1
53,2012-09-14 9:09:54,818,818,49.99,22087,1,2012-09-03 18:09:54,1
54,2012-09-14 21:56:14,900,900,49.99,23851,1,2012-09-12 16:56:14,1
55,2012-09-15 9:00:25,838,838,49.99,12414,1,2012-09-05 18:00:25,1
56,2012-09-15 19:18:27,807,807,49.99,21833,1,2012-09-01 16:18:27,1
57,2012-09-18 8:07:59,910,910,49.99,23993,1,2012-09-13 10:07:59,1
58,2012-09-19 19:57:16,849,849,49.99,22790,1,2012-09-06 19:57:16,1
59,2012-09-22 17:50:53,988,988,49.99,25600,1,2012-09-20 14:50:53,1
60,2012-09-24 12:27:05,934,934,49.99,24435,1,2012-09-15 13:27:05,1
61,2012-09-24 15:13:26,993,993,49.99,25687,1,2012-09-20 19:13:26,1
62,2012-09-24 20:49:53,950,950,49.99,20960,1,2012-09-17 17:49:53,1
63,2012-09-25 8:14:53,969,969,49.99,25237,1,2012-09-19 10:14:53,1
64,2012-09-27 1:07:36,953,953,49.99,24934,1,2012-09-18 9:07:36,1
65,2012-09-27 4:26:24,905,905,49.99,16542,1,2012-09-13 6:26:24,1
66,2012-09-29 19:44:05,941,941,49.99,24567,1,2012-09-16 19:44:05,1
67,2012-09-30 10:29:56,939,939,49.99,24523,1,2012-09-16 11:29:56,1
68,2012-10-02 19:14:21,1006,1006,49.99,25970,1,2012-09-22 1:14:21,1
69,2012-10-05 11:06:14,1107,1107,49.99,27967,1,2012-10-02 12:06:14,1
70,2012-10-05 18:22:42,1069,1069,49.99,27199,1,2012-09-28 0:22:42,1
71,2012-10-06 0:04:13,984,984,49.99,25513,1,2012-09-20 10:04:13,1
72,2012-10-06 7:54:10,1021,1021,49.99,26224,1,2012-09-23 23:54:10,1
73,2012-10-07 1:25:32,1129,1129,49.99,23241,1,2012-10-03 23:25:32,1
74,2012-10-07 15:51:25,1103,1103,49.99,27949,1,2012-10-02 10:51:25,1
75,2012-10-08 15:43:52,1036,1036,49.99,26478,1,2012-09-25 6:43:52,1
76,2012-10-10 10:23:40,1063,1063,49.99,19208,1,2012-09-27 9:23:40,1
77,2012-10-10 13:15:44,1078,1078,49.99,27388,1,2012-09-28 20:15:44,1
78,2012-10-10 15:18:51,1056,1056,49.99,26905,1,2012-09-26 19:18:51,1
79,2012-10-13 21:35:11,1145,1145,49.99,28829,1,2012-10-06 3:35:11,1
80,2012-10-14 19:15:52,1123,1123,49.99,28215,1,2012-10-03 14:15:52,1
81,2012-10-17 12:24:18,1226,1226,49.99,30394,1,2012-10-14 13:24:18,1
82,2012-10-20 13:42:51,1279,1279,49.99,31380,1,2012-10-18 7:42:51,1
83,2012-10-20 17:49:01,1245,1245,49.99,30779,1,2012-10-16 1:49:01,1
84,2012-10-21 19:42:47,1271,1271,49.99,31274,1,2012-10-17 19:42:47,1
85,2012-10-22 11:33:07,1167,1167,49.99,29240,1,2012-10-08 20:33:07,1
86,2012-10-22 14:28:55,1243,1243,49.99,27706,1,2012-10-15 21:28:55,1
87,2012-10-23 18:58:17,1318,1318,49.99,22110,1,2012-10-21 1:58:17,1
88,2012-10-25 4:26:48,1227,1227,49.99,30421,1,2012-10-14 16:26:48,1
89,2012-10-26 7:25:27,1283,1283,49.99,31421,1,2012-10-18 10:25:27,1
90,2012-10-28 6:17:14,1222,1222,49.99,30270,1,2012-10-13 12:17:14,1
91,2012-10-29 0:19:14,1233,1233,49.99,30540,1,2012-10-15 9:19:14,1
92,2012-11-01 8:02:36,1274,1274,49.99,31294,1,2012-10-17 21:02:36,1
93,2012-11-01 17:40:26,1426,1426,49.99,34232,1,2012-10-29 15:40:26,1
94,2012-11-01 18:56:47,1267,1267,49.99,31168,1,2012-10-17 13:56:47,1
95,2012-11-02 14:46:50,1451,1451,49.99,34787,1,2012-10-31 14:46:50,1
96,2012-11-03 18:58:54,1445,1445,49.99,34626,1,2012-10-31 1:58:54,1
97,2012-11-04 6:41:25,1393,1393,49.99,25334,1,2012-10-26 12:41:25,1
98,2012-11-05 18:35:20,1351,1351,49.99,32761,1,2012-10-23 18:35:20,1
99,2012-11-06 16:47:45,1324,1324,49.99,32211,1,2012-10-21 20:47:45,1
100,2012-11-06 17:59:29,1480,1480,49.99,29373,1,2012-11-02 8:59:29,1
101,2012-11-07 10:23:24,1422,1422,49.99,34133,1,2012-10-29 9:23:24,1
102,2012-11-09 7:25:56,1368,1368,49.99,33117,1,2012-10-24 18:25:56,1
103,2012-11-11 2:57:29,1515,1515,49.99,36046,1,2012-11-05 19:57:29,1
104,2012-11-12 13:31:27,1468,1468,49.99,35137,1,2012-11-01 16:31:27,1
105,2012-11-13 4:28:08,1525,1525,49.99,36268,1,2012-11-06 14:28:08,1
106,2012-11-13 18:51:02,1547,1547,49.99,36661,1,2012-11-07 15:51:02,1
107,2012-11-14 1:09:00,1443,1443,49.99,34589,1,2012-10-30 21:09:00,1
108,2012-11-14 20:42:32,1559,1559,49.99,36860,1,2012-11-08 10:42:32,1
109,2012-11-15 3:18:16,1576,1576,49.99,37214,1,2012-11-09 12:18:16,1
110,2012-11-15 22:31:01,1552,1552,49.99,36718,1,2012-11-07 18:31:01,1
111,2012-11-17 16:07:01,1584,1584,49.99,37481,1,2012-11-10 18:07:01,1
112,2012-11-17 20:47:59,1483,1483,49.99,35355,1,2012-11-02 13:47:59,1
113,2012-11-18 11:31:16,1532,1532,49.99,36337,1,2012-11-06 17:31:16,1
114,2012-11-18 22:56:28,1544,1544,49.99,36525,1,2012-11-07 10:56:28,1
115,2012-11-19 17:29:51,1626,1626,49.99,38277,1,2012-11-14 4:29:51,1
116,2012-11-21 6:39:21,1638,1638,49.99,38499,1,2012-11-14 18:39:21,1
117,2012-11-21 18:20:39,1528,1528,49.99,22180,1,2012-11-06 15:20:39,1
118,2012-11-22 1:35:09,1653,1653,49.99,38786,1,2012-11-15 17:35:09,1
119,2012-11-25 21:13:28,1637,1637,49.99,38486,1,2012-11-14 18:13:28,1
120,2012-11-25 21:54:01,1756,1756,49.99,40966,1,2012-11-23 2:54:01,1
121,2012-11-26 3:35:40,1660,1660,49.99,38864,1,2012-11-15 23:35:40,1
122,2012-11-26 15:40:13,1646,1646,49.99,38664,1,2012-11-15 11:40:13,1
123,2012-11-26 23:13:16,1631,1631,49.99,38367,1,2012-11-14 12:13:16,1
124,2012-11-27 9:18:30,1617,1617,49.99,38153,1,2012-11-13 16:18:30,1
125,2012-11-27 9:36:25,1779,1779,49.99,41533,1,2012-11-23 9:36:25,1
126,2012-11-27 18:57:24,1848,1848,49.99,43063,1,2012-11-23 16:57:24,1
127,2012-11-27 19:18:26,1748,1748,49.99,40766,1,2012-11-22 22:18:26,1
128,2012-11-28 1:24:41,1815,1815,49.99,42317,1,2012-11-23 13:24:41,1
129,2012-11-28 12:23:54,1604,1604,49.99,37904,1,2012-11-12 19:23:54,1
130,2012-11-29 17:23:22,1908,1908,49.99,44173,1,2012-11-24 20:23:22,1
131,2012-11-30 10:45:33,1636,1636,49.99,38479,1,2012-11-14 17:45:33,1
132,2012-12-02 16:26:56,2064,2064,49.99,47722,1,2012-11-30 1:26:56,1
133,2012-12-02 20:46:16,2051,2051,49.99,47455,1,2012-11-29 0:46:16,1
134,2012-12-02 23:09:37,1988,1988,49.99,46154,1,2012-11-26 17:09:37,1
135,2012-12-03 0:54:53,1909,1909,49.99,44196,1,2012-11-24 23:54:53,1
136,2012-12-03 22:16:21,1905,1905,49.99,44107,1,2012-11-24 12:16:21,1
137,2012-12-03 22:45:33,1961,1961,49.99,45560,1,2012-11-26 13:45:33,1
138,2012-12-04 2:54:59,1918,1918,49.99,44373,1,2012-11-26 0:54:59,1
139,2012-12-04 15:16:20,1776,1776,49.99,41459,1,2012-11-23 9:16:20,1
140,2012-12-04 17:07:30,2028,2028,49.99,47002,1,2012-11-27 12:07:30,1
141,2012-12-05 13:29:12,1797,1797,49.99,41927,1,2012-11-23 11:29:12,1
142,2012-12-05 14:58:49,1915,1915,49.99,44318,1,2012-11-25 22:58:49,1
